ts,ax,ay,az,gx,gy,gz,label
86364,-286,1171,-160,12145,-19287,26245,walking
86384,-274,1001,-109,17211,-16845,-28244,walking
86404,-246,871,-116,11962,-12207,-22202,walking
86424,-213,776,-159,16357,-4699,-29587,walking
86444,-197,758,-202,10620,2746,19897,walking
86464,-161,846,-263,-5798,10314,3723,walking
86484,-146,907,-299,-15136,17944,-6103,walking
86504,-145,956,-297,-17944,24841,-16174,walking
86524,-152,1053,-269,-10192,26428,-18371,walking
86544,-142,1121,-223,-8300,24841,2319,walking
86564,-116,1019,-135,-3417,16662,23986,walking
86584,-81,883,-95,1403,11718,-25681,walking
86604,-86,837,-44,13000,11535,-25986,walking
86624,-97,933,0,29357,14160,29357,walking
86644,-98,1066,15,-29465,8239,22766,walking
86664,-82,1167,-70,32287,15197,9521,walking
86684,-62,1195,-126,17639,14953,8422,walking
86704,-51,1201,-146,1525,17211,13427,walking
86724,-64,1128,-121,-8544,18554,7019,walking
86744,-102,1038,-93,-16418,9521,5126,walking
86764,-104,909,-112,-19470,8117,3479,walking
86784,-86,862,-114,-20141,8300,-61,walking
86804,-67,854,-123,-19897,7141,-3173,walking
86824,-54,891,-111,-14404,4394,-8300,walking
86844,-37,950,-104,-6530,2136,-12634,walking
86864,-31,1006,-111,-183,1770,-11413,walking
86884,-43,1020,-103,488,2929,-4394,walking
86904,-54,997,-92,2624,2868,793,walking
86924,-61,967,-93,610,-61,3906,walking
86944,-78,941,-65,61,-1464,2563,walking
86964,-121,903,-29,-1464,-2319,732,walking
86984,-154,895,-76,-10131,-7202,-2746,walking
87004,-149,922,-206,-25085,-15319,-183,walking
87024,-93,979,-303,24338,-18737,1831,walking
87044,-21,1000,-338,20187,-16723,-5493,walking
87064,10,1060,-342,27145,-16052,-13671,walking
87084,-24,1163,-295,-22216,-16296,-17333,walking
87104,-125,1252,-212,-4150,-12023,6958,walking
87124,-265,1084,33,9033,-2014,21423,walking
87144,-452,898,134,10803,-1708,16723,walking
87164,-438,909,143,-23376,-22216,18493,walking
87184,-335,896,18,-22399,-32531,15930,walking
87204,-227,968,-38,-13854,30563,10681,walking
87224,-141,1033,-74,-4821,26840,13122,walking
87244,-77,1059,-108,4882,24948,10253,walking
87264,-39,1073,-115,17578,27756,2380,walking
87284,-13,1074,-78,26733,-29052,915,walking
87304,-30,1019,-89,21484,-14465,3662,walking
87324,-77,860,-104,10314,-3723,4943,walking
87344,-119,796,-72,-3662,4943,-244,walking
87364,-157,799,-26,-13488,9948,-9277,walking
87384,-181,877,9,-17456,13122,-15930,walking
87404,-197,971,34,-11535,12207,-17395,walking
87424,-187,1071,19,-8300,10131,-13000,walking
87444,-171,1121,-22,-10314,8300,1525,walking
87464,-141,1119,-41,-22277,11108,14587,walking
87484,-112,1106,-21,30869,18066,21972,walking
87504,-85,1032,-20,4379,25024,27282,walking
87524,-111,863,8,3586,29785,23864,walking
87544,-124,742,-30,-24796,-20981,3906,walking
87564,-149,898,36,-8881,259,-28686,walking
87584,-151,974,124,28411,7706,32578,walking
87604,-184,1013,165,3220,5569,-17517,walking
87624,-162,932,78,-3784,-10727,-14038,walking
87644,-145,991,-22,23376,-13596,-17639,walking
87664,-140,1025,-38,-28183,-12375,-11535,walking
87684,-100,1039,-33,-21286,-13596,7751,walking
87704,-23,1003,24,32165,-13474,18676,walking
87724,31,973,66,19592,-17624,25390,walking
87744,67,989,59,19287,-23178,28625,walking
87764,69,1056,77,32104,-25742,24047,walking
87784,51,1148,148,-19028,-24521,13122,walking
